"지역별(1)","지표별(1)",지표별(2),2018,2019,2020
"경기 하남시","인구",출생아수 (명),1892,1981,-
"경기 하남시","인구",평균연령,40,40,-
"경기 하남시","인구",사망자수 (명),978,-,-
"경기 하남시","인구",전출인구 (명),39252,38913,-
"경기 하남시","인구",전입인구 (명),60225,55899,-
"경기 하남시","인구",순이동인구 (명),20973,16986,-
"경기 하남시","인구",주민등록인구 (명),254415,272455,-
"경기 하남시","인구",농가인구 (명),3054,2699,-
"경기 하남시","인구",등록외국인 현황 (명),2345,2279,-
"경기 하남시","인구",합계출산율,1.020,0.975,-
"경기 하남시","인구",인구총조사 인구,238592,260544,-
"경기 하남시","가족",혼인건수 (건),1357,1309,-
"경기 하남시","가족",조이혼율,1.8,2.0,-
"경기 하남시","가족",조혼인율,5.6,5.0,-
"경기 하남시","건강",스트레스 인지율 (%),29.1,22.8,-
"경기 하남시","건강",비만율 (%),31.0,-,-
"경기 하남시","건강",고위험음주율 (%),21.5,17.3,-
"경기 하남시","건강",EQ-5D (점),0.961,0.959,-
"경기 하남시","건강",흡연율 (%),18.4,16.8,-
"경기 하남시","건강",주관적 건강수준인지율 (%),41.0,39.8,-
"경기 하남시","건강",음주율 (%),64.2,59.6,-
"경기 하남시","교육",학급당 학생수 (명),24.50,24.54,-
"경기 하남시","교육",초등학교수 (개),20,20,-
"경기 하남시","교육",유치원 교원수 (명),201,213,-
"경기 하남시","교육",유치원수 (개),33,34,-
"경기 하남시","교육",유치원 원아수 (명),2917,3048,-
"경기 하남시","교육",초등학교 학생수 (명),14275,16083,-
"경기 하남시","교육",초등학교 교원수 (명),828,935,-
"경기 하남시","주거와 교통",도시지역면적,93044652,93044652,-
"경기 하남시","주거와 교통",토지거래면적 (천㎡),4996,2513,194
"경기 하남시","주거와 교통",주택수 (호),73525,79750,-
"경기 하남시","성장과 안정",친환경인증 농산물 출하량 (톤),150,152,-
"경기 하남시","성장과 안정",종사자수 (명),76219,-,-
"경기 하남시","성장과 안정",농가수 (가구),1071,944,-
"경기 하남시","성장과 안정",서비스업사업체수 (개),11147,-,-
"경기 하남시","성장과 안정",제조업종사자수 (명),8771,-,-
"경기 하남시","성장과 안정",제조업사업체수 (개),1470,-,-
"경기 하남시","성장과 안정",운수업종사자수 (명),4552,-,-
"경기 하남시","성장과 안정",운수업사업체수 (개),1603,-,-
"경기 하남시","성장과 안정",도소매업종사자수 (명),23246,-,-
"경기 하남시","성장과 안정",도소매업사업체수 (개),5243,-,-
"경기 하남시","성장과 안정",사업체수 (개),15328,-,-
"경기 하남시","성장과 안정",가구수 (가구),90538,102261,-
"경기 하남시","안전",화재발생건수 (건),173,206,-
"경기 하남시","환경",폐수배출업소수 (개),79,-,-
"경기 하남시","환경",논경지면적 (헥타르),6,2,-
"경기 하남시","환경",하수도보급률 (%),95.4,-,-
"경기 하남시","환경",상수도보급률 (%),98.4,-,-
"경기 하남시","사회통합",건강보험 적용인구 현황,252972,-,-
"경기 하남시","사회통합",인구십만명당 자살률 (십만명당),17.4,-,-
