,지역별,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,제조업종사자비율,도소매업종사자비율,운수업종사자비율,농업가구비율,합계출산율,인구총조사 인구,도시지역면적
0,가평군,0.8150484012907011,0.04986799647990613,0.17263127016720445,0.035054268113816366,0.06783756491633007,0.10869878822850548,0.026904212348528564,0.1258625448523323,0.971,59823,81889445
1,고양시,0.7349794238683127,0.08458595047289004,0.26666666666666666,0.10459894592448199,0.09813339581380819,0.1978167880229736,0.058046764232331245,0.013251082295387323,0.802,1024645,194127720
2,과천시,0.8024489795918367,0.021496598639455782,0.3523809523809524,0.08353741496598639,0.009417980302638757,0.12372584489045856,0.027162833433830073,0.017505125374546602,0.78,53830,35853000
3,광명시,0.7104265402843601,0.09246972090573986,0.2589784096893102,0.12243285939968404,0.16204422749796613,0.18754952613395037,0.058945344279269285,0.004860165144711838,0.84,313462,38506473
4,광주시,0.5706053975200583,0.24022611232676877,0.22184536834427426,0.12231947483588622,0.35294117647058826,0.17415241958852506,0.07637641263401912,0.02491523864127011,1.043,375238,172259487
5,구리시,0.7529355543418896,0.05584380120152922,0.2901419989077007,0.11339432004369197,0.06086070791953145,0.21603079734567623,0.06053116433739271,0.006664463538224278,0.872,192270,33292067
6,군포시,0.6440572846188543,0.1761953089760938,0.19108028867839422,0.10577356788452864,0.2604493015369872,0.117568464118536,0.09188750875382404,0.0032991307507674065,1.046,275154,36460228
7,김포시,0.5723434761828899,0.2960331368488131,0.20605384737932134,0.0763740640433328,0.44629699088918195,0.1373277353627993,0.041198320608839795,0.030778960035856597,1.016,442910,101933117
8,남양주시,0.6741289610594356,0.1498239529139734,0.2371643281307478,0.10728361973829419,0.2024914198550909,0.19913199803882403,0.053218083979492396,0.01741110754779022,0.9079999999999999,681077,242423014
9,동두천시,0.7247259439707674,0.07704019488428746,0.2172655298416565,0.10794762484774666,0.2020945372204925,0.12666289272572884,0.04783470138692329,0.01753060692888773,0.8540000000000001,96541,33565811
10,부천시,0.660900799496797,0.17382020426067238,0.22111135020608147,0.09388707728469038,0.23315416710959924,0.14273280535771235,0.036678138620176465,0.0027369762723553084,0.807,836751,53450000
11,성남시,0.7679015737815024,0.0635618445757201,0.24954587779151594,0.09082444169681428,0.08541106251474302,0.15963149477474825,0.03276684058924479,0.00219148873160186,0.852,919895,141820898
12,수원시,0.7598480412848408,0.05299492109312237,0.2340109747960948,0.10505031249574488,0.1066245495395293,0.1301997597544156,0.04135115896249499,0.005607254385361061,0.89,1214986,121182030
13,시흥시,0.5622483181018061,0.2940367967977623,0.22070844686648503,0.09088278556099443,0.4558824255165845,0.13952593162874022,0.0376204788060939,0.008321789285444425,1.081,508749,135056862
14,안산시,0.63591238720868,0.17384164006421493,0.21392061705386303,0.1163987968925876,0.3914304905125287,0.1142228109782264,0.04153528493510209,0.00621282547576327,0.887,714650,151472339
15,안성시,0.6423708450140169,0.17868108396742757,0.20771592577759979,0.09110933119743693,0.4163172250946546,0.10325489557464479,0.04668607254814151,0.10741217119366472,1.002,202284,156213560
16,안양시,0.7336917722648582,0.0867169373549884,0.263631090487239,0.09106728538283063,0.13542572102019562,0.1557779500552071,0.043750636251869604,0.0025389778351522195,0.98,557339,58480054
17,양주시,0.5840642442191594,0.24353571021756465,0.215400387287846,0.09482856817405172,0.3969280978626773,0.13632992137665034,0.04223294877500485,0.043171816674816045,1.03,224684,150455382
18,양평군,0.7620049504950495,0.04925742574257426,0.1993811881188119,0.06794554455445545,0.053255036954540855,0.1484593837535014,0.03371469069555533,0.13930252046670535,1.024,111836,51198870
19,여주시,0.6863501156769858,0.12504131320921008,0.23146414013440564,0.0887958576622232,0.19583637026239067,0.14358600583090378,0.04739887026239067,0.15169624395010112,1.083,111981,26093192
20,연천군,0.6951652553947009,0.10406992624965856,0.21087134662660476,0.05435673313302376,0.1891241899926515,0.10962656156055849,0.03173224664306233,0.17413955550629054,1.413,42540,30445145
21,오산시,0.707816091954023,0.07111111111111111,0.21026819923371648,0.1506513409961686,0.17162140446729873,0.13819701108789972,0.05688574642455407,0.012500402719159767,1.04,233998,42757000
22,용인시,0.7351440547768526,0.08197560836826433,0.22656146273922198,0.10587409669404245,0.1666232119366193,0.14262731248296376,0.060811931878785,0.014778624020935945,0.9359999999999999,1052529,388296611
23,의왕시,0.6425940395133385,0.12434423484763925,0.2092867507534323,0.14689139412880903,0.18691452524147986,0.13205759066885364,0.09028613085474758,0.009290129888171147,0.924,155826,53990394
24,의정부시,0.7588796803315081,0.04961521385230132,0.2337205860589019,0.11469587094864585,0.058894180989852975,0.1630648167322427,0.05094222406295299,0.005817734218960472,0.847,440357,81598380
25,이천시,0.6807304410097272,0.11624992540430865,0.22390642716476697,0.11541445366115653,0.3353978006431926,0.10326449033977349,0.09466939735649485,0.08390262676801694,0.991,222995,82195456
26,파주시,0.6434851328657513,0.19131351048766834,0.21199249234416676,0.09657874806546149,0.4107221053306134,0.12135129073257217,0.05580535945059757,0.04042701405716939,1.05,454328,81322573
27,평택시,0.72296792405834,0.10563750588105056,0.22940248526277918,0.09467799518445742,0.3821536629686729,0.11161513615340528,0.059935044451454395,0.04047182754022239,1.102,521172,151090527
28,포천시,0.5385701102003149,0.3246837848108137,0.1959719884913957,0.07344878128223223,0.4673516348263499,0.12141060630384759,0.03334938727457591,0.09499799277398635,0.889,159871,39013035
29,하남시,0.7272312108559499,0.09590292275574112,0.34205375782881003,0.10457985386221294,0.11507629331269106,0.30498956952990725,0.05972264133614978,0.009231280742414019,0.975,260544,93044652
30,화성시,0.551696,0.305056,0.186992,0.083136,0.5056507299357275,0.08825260706846257,0.0317344471885365,0.03751131641495974,1.199,838635,317786985
