,행정구역별(시군구),주택,전체대비주택비율,면적대비주택비율,미성년비율,청년비율,중년비율,장년비율,노년비율
0,강남구,159589,0.05578938684076765,0.004040507307999126,0.17853784863787053,0.20145412691593784,0.2691370883418576,0.21771173595519278,0.13315920014914123
1,강동구,119085,0.0416299314610206,0.004849487520525873,0.1619237413959345,0.19898226019536835,0.2452242324194496,0.24729887493400554,0.14657089105524201
2,강북구,93788,0.03278656431848007,0.00396801170281679,0.1331087260278164,0.19476581118707567,0.22661766555722895,0.25336995950949026,0.1921378377183887
3,강서구,186198,0.06509140511549828,0.004490672878364598,0.15508108388351666,0.22476263008193306,0.24974300940898422,0.22885838969248729,0.14155488693307874
4,관악구,125686,0.043937519969852075,0.004251393661950916,0.11111557627391094,0.31071540368361833,0.22244689041362448,0.20626443540131473,0.14945769422753152
5,광진구,88124,0.030806533820976437,0.005160960848579936,0.13969983149809945,0.25892924427349756,0.23744901988563574,0.22944593319608014,0.13447597114668708
6,구로구,124745,0.0436085636319017,0.006195022250332831,0.1519137114584493,0.20578967944718166,0.24570279024127548,0.23680933308133048,0.15978448577176307
7,금천구,65580,0.02292556497639275,0.0050396978025672645,0.12750572998144577,0.22867173572961763,0.22572488812893368,0.2603367046240041,0.15776094153599884
8,노원구,181801,0.06355429457568128,0.005114557870285061,0.17500153475375618,0.18963417411434808,0.24065136929739964,0.2439387128267788,0.15077420900771735
9,도봉구,103321,0.036119126241626644,0.004996408926289271,0.1461914980065517,0.1879809035272607,0.22482795398562685,0.2649095964854364,0.17609004799512432
10,동대문구,100644,0.035183296149497896,0.0070650011129882815,0.13847641180004697,0.23757765395840766,0.22696456509208685,0.22992586086484476,0.16705550828461377
11,동작구,114231,0.03993306210457945,0.006970455364518734,0.14095087027809378,0.24724816945187703,0.23421936669176827,0.22201838292236126,0.15556321065589968
12,마포구,114240,0.039936208339480146,0.004783100582149062,0.14912761107367636,0.24835199495347737,0.25892675373829765,0.20617338819515132,0.13742025203939728
13,서대문구,95124,0.03325360541040537,0.005378538599654131,0.1434692661273197,0.23493790202700388,0.22964604497907234,0.22840271545907287,0.16354407140753122
14,서초구,125358,0.04382285718680455,0.0026728849048186405,0.1889967306906416,0.19110645688598282,0.26948559460563953,0.21647170004086635,0.13393951777686963
15,성동구,88951,0.031095637850184685,0.005293356986051759,0.14424169696114073,0.23421452017082553,0.24568877280909188,0.23200508241273426,0.1438499276462076
16,성북구,132456,0.04630418777848549,0.005379705526350184,0.15920774946642352,0.21983111975774552,0.2379691350205424,0.22670965552350247,0.1562823402317861
17,송파구,203541,0.07115419976913627,0.006011731235997481,0.17063446029160542,0.21252234714552462,0.2543895753049144,0.23220531564101546,0.13024830161694012
18,양천구,135774,0.0474640997118748,0.007772009603189263,0.18770924505431355,0.179905960415896,0.2524388172695949,0.24565689278510255,0.134289084475093
19,영등포구,99830,0.03489873668181288,0.0040989815983113005,0.1368514446178578,0.24120301368338756,0.24187649520217622,0.2264713375050145,0.1535977089915639
20,용산구,67864,0.023724009477857848,0.003103063557384545,0.13251973593997923,0.22637074183627495,0.24753668044427904,0.23234049638582538,0.1612323453936414
21,은평구,144597,0.05054845865952215,0.004854117972016202,0.15223601887900862,0.1972847464668869,0.24467659757914464,0.23892488826048208,0.16687774881447778
22,종로구,44080,0.015409559380289607,0.0018387730578199434,0.1317609349501277,0.2286661446479667,0.22194820306039562,0.24418766328330246,0.17343705405820753
23,중구,39753,0.013896919556366896,0.003985546041764167,0.1187481087623741,0.2373319500280984,0.23008688886007003,0.2429516275450655,0.170881424804392
24,중랑구,106202,0.037126270991504465,0.005730884460637875,0.1355247704462951,0.2099855861627162,0.22856075165492207,0.26232116164851593,0.16360773008755072
