,date,seoul,daegu
0,2.18,0,0
2,2.19,0,0
3,2.20,0,0
5,2.21,0,0
6,2.22,0,1
8,2.23,0,1
9,2.24,0,0
11,2.25,0,2
13,2.26,0,1
14,2.27,0,1
16,2.28,0,0
17,2.29,0,4
19,3.1,0,1
20,3.2,0,4
22,3.3,0,6
24,3.4,0,4
25,3.5,0,3
27,3.6,0,3
28,3.7,0,1
30,3.8,0,4
31,3.9,0,1
33,3.10,0,3
34,3.11,0,6
36,3.12,0,4
38,3.13,0,0
39,3.14,0,3
41,3.15,0,2
42,3.16,0,0
44,3.17,0,4
45,3.18,0,1
47,3.19,0,7
49,3.20,0,2
50,3.21,0,6
52,3.22,0,2
53,3.23,0,7
55,3.24,0,6
56,3.25,0,4
58,3.26,0,2
59,3.27,0,4
61,3.28,0,3
63,3.29,0,5
64,3.30,0,5
66,3.31,0,3
67,4.1,0,1
69,4.2,0,2
70,4.3,0,4
72,4.4,0,1
74,4.5,0,5
75,4.6,0,2
77,4.7,0,5
78,4.8,2,3
80,4.9,0,2
81,4.10,0,3
83,4.11,0,3
85,4.12,0,1
86,4.13,0,1
88,4.14,0,5
89,4.15,0,3
91,4.16,0,3
92,4.17,0,1
94,4.18,0,1
95,4.19,0,1
97,4.20,0,2
99,4.21,0,1
100,4.22,0,1
102,4.23,0,1
103,4.24,0,0
105,4.25,0,0
106,4.26,0,2
108,4.27,0,1
110,4.28,0,1
111,4.29,0,1
113,4.30,0,1
114,5.1,0,0
116,5.2,0,2
117,5.3,0,0
119,5.4,0,0
120,5.5,0,2
122,5.6,0,1
124,5.7,0,1
125,5.8,0,0
127,5.9,0,0
128,5.10,0,0
130,5.11,0,0
131,5.12,0,1
133,5.13,1,0
135,5.14,1,0
136,5.15,0,0
138,5.16,0,2
139,5.17,0,0
141,5.18,0,1
142,5.19,0,0
144,5.20,0,0
146,5.21,0,0
147,5.22,0,0
149,5.23,0,1
150,5.24,0,0
152,5.25,0,0
153,5.26,0,1
155,5.27,0,0
156,5.28,0,0
158,5.29,0,0
160,5.30,0,0
161,5.31,0,1
163,6.1,0,1
164,6.2,0,1
166,6.3,0,1
167,6.4,0,0
169,6.5,0,0
171,6.6,0,0
172,6.7,0,0
174,6.8,0,0
175,6.9,0,0
177,6.10,0,0
178,6.11,0,0
180,6.12,0,1
181,6.13,0,0
183,6.14,0,0
185,6.15,0,0
186,6.16,0,0
188,6.17,1,0
189,6.18,1,0
191,6.19,0,0
192,6.20,0,0
194,6.21,0,0
196,6.22,0,0
197,6.23,0,0
199,6.24,0,0
200,6.25,1,0
202,6.26,0,0
203,6.27,0,0
205,6.28,0,0
207,6.29,0,0
208,6.30,0,0
210,7.1,0,0
211,7.2,0,0
213,7.3,0,0
214,7.4,1,0
216,7.5,0,0
217,7.6,0,0
219,7.7,0,0
221,7.8,0,0
222,7.9,1,0
224,7.10,0,0
225,7.11,0,0
227,7.12,0,0
228,7.13,0,0
230,7.14,0,0
232,7.15,0,0
233,7.16,0,0
235,7.17,0,0
236,7.18,0,1
238,7.19,1,0
239,7.20,0,0
241,7.21,0,0
242,7.22,1,0
244,7.23,0,0
246,7.24,0,1
247,7.25,0,0
249,7.26,0,0
250,7.27,0,0
252,7.28,0,0
253,7.29,0,0
255,7.30,0,0
257,7.31,0,0
258,8.1,0,0
260,8.2,0,0
261,8.3,0,0
263,8.4,0,0
264,8.5,1,0
266,8.6,0,0
268,8.7,1,0
269,8.8,0,0
271,8.9,0,0
272,8.10,0,0
274,8.11,0,0
275,8.12,0,0
277,8.13,0,0
278,8.14,0,0
