,구리,광명,과천,의정부
가구,0.06484924374423387,0.07453055069104175,0.030027646988379262,0.050290682647079116
광학제품,0.4868637527095884,0.57967915324414,0.3459490612613982,0.5568650556649838
의료기관,0.5575802402120936,0.571125752508277,0.3791345152965861,0.5272172032644201
레저업소,0.18754294151723075,0.2007777114743004,0.18402720381683105,0.2294982620190973
레저용품,0.3481004605486766,0.22899406064230166,0.14224108103344082,0.2578443216056029
문화취미,0.258143607858151,0.4757609742671102,0.6013426374684647,0.30883030839772857
보건위생,0.4484223974634251,0.5171685888859978,0.2926768408569306,0.45812929748599296
사무통신,0.7590212002810964,0.7415901770286425,1.0,1.0
서적문구,0.29776162431679365,0.352352402342015,0.4876256612556645,0.3223110018566547
수리서비스,0.16668124981801202,0.20917857222280525,0.1518570308767273,0.2041104851269518
숙박,0.06634740676703565,0.13191716194510614,0.020876389634037568,0.10433496084688168
신변잡화,0.10124175424958352,0.12557849414556765,0.07386228078005246,0.11542551476928453
연료판매,0.10577998379065894,0.2079787442535739,0.0968411785690953,0.1835032731982662
유통업,0.9743292584541,0.9943139132256132,0.6901222974213606,0.9806029376875456
음료식품,1.0,1.0,0.4788606423239467,0.8717095291235116
의류,0.4384443797842839,0.3180506524860183,0.2807108546850337,0.423077297610543
요식업,0.3789301369976474,0.3916871437461237,0.2697755403764828,0.4030418889470381
자동차정비,0.06833281882011992,0.061297235703885275,0.029025523105102594,0.06645999812709744
자동차판매,0.04999232612722164,0.07900812769918396,1.7630851105129765e-05,0.054010391706064434
전기가전,0.14733017251966465,0.15600382262280396,0.03570351297360228,0.13610549084815915
주방용구,0.05119502985627882,0.09247507648351128,0.02771331902258468,0.05824162875405664
직물,0.4023046534997692,0.4680397599613814,0.21301377353854856,0.4431823849362365
