업종,가평,고양,과천,광명,광주,구리,군포,남양주,동두천,부천,수원,안산,안성,양주,양평,여주,연천,오산,용인,의정부,이천,파주,하남,화성
가구,0.0343,0.5956,0.0974,0.3067,0.7892,0.2657,0.0933,0.9418,0.185,0.2164,0.6638,0.8263,0.1294,0.1557,0.0665,0.1555,0.0486,0.3202,0.4314,0.2042,0.2272,0.9941,0.2301,0.3861
광학제품,0.0459,0.9692,0.3207,0.6264,0.2994,0.4908,0.3424,0.4129,0.4015,0.6324,0.8155,0.5016,0.1333,0.27,0.1388,0.1665,0.1685,0.265,0.4543,0.6274,0.3194,0.5483,0.3886,0.7666
의료기관,0.0553,0.618,0.4066,0.6841,0.3387,0.702,1.0,0.6257,0.407,0.8404,0.8684,0.5933,0.2373,0.3757,0.2776,0.2665,0.2374,0.6354,1.0,0.6437,0.4862,0.5675,0.9121,0.883
레저업소,0.0989,0.9292,0.4834,0.5937,0.4134,0.5528,0.6067,0.7698,0.3811,0.8641,0.9711,0.6369,0.2222,0.4002,0.1568,0.2291,0.2645,0.5712,0.6942,0.7118,0.4093,0.7552,0.6822,1.0
레저용품,0.1098,0.8618,0.2658,0.5159,0.5551,0.8106,0.6035,0.9792,0.5661,0.8445,0.7474,0.7299,0.3185,0.292,0.48,0.6477,0.9379,0.886,0.7834,0.6106,0.5273,0.6214,0.9259,0.7817
문화취미,0.0887,0.8538,1.0,0.8881,0.3891,0.4512,0.4317,1.0,0.408,0.8142,0.8372,0.482,0.199,0.5276,0.4235,0.5494,0.4428,0.5379,0.5606,0.5764,0.6879,0.6978,0.5661,0.6106
보건위생,0.0454,0.8504,0.3706,0.7608,0.3101,0.6569,0.6035,0.666,0.5948,0.8927,0.938,0.5552,0.1582,0.3266,0.1635,0.2698,0.2645,0.484,0.5861,0.6964,0.3501,0.6202,0.4925,0.8275
사무통신,0.0595,0.8354,0.6586,0.5165,0.2809,0.5364,0.7327,0.4703,0.4163,0.939,0.8732,0.8947,0.1324,0.267,0.3186,0.1977,0.2411,0.4486,0.4469,0.7574,0.4077,0.386,0.3388,0.341
서적문구,0.0493,1.0,0.7194,0.5445,0.2887,0.4507,0.9003,0.5312,0.3765,0.6094,0.8279,0.6174,0.1777,0.2618,0.2553,0.2606,0.2306,0.5535,0.5577,0.5112,0.2345,1.0,0.4473,0.9133
수리서비스,0.0482,0.7819,0.4353,0.6902,0.4632,0.5424,0.6429,0.8371,0.5856,0.8986,0.9951,0.6337,0.2061,0.4782,0.2213,0.2321,0.3825,0.6346,0.7621,0.6964,0.3998,0.6998,0.5449,0.962
숙박,1.0,0.348,0.0069,0.6769,0.185,0.2677,0.3195,0.2459,0.4672,0.6641,0.7452,0.0422,0.1667,0.2382,0.98,0.3342,0.722,0.3531,0.318,0.5233,0.3869,0.5678,0.3879,0.151
신변잡화,0.1174,0.7248,0.378,0.7431,0.4123,0.5895,0.6444,0.7059,0.741,0.9901,0.7749,0.6136,0.231,0.3048,0.2843,0.3716,0.4219,0.6292,0.4928,0.7037,0.4776,0.7798,0.4302,0.4415
연료판매,0.381,0.0,0.0372,0.1962,1.0,0.0,0.5259,0.0,0.6318,0.0,0.2967,0.0009,0.9759,0.1207,1.0,0.4161,0.2847,0.7325,0.4306,0.1611,0.1401,0.791,1.0,0.2718
유통업,0.1864,0.1966,0.4605,0.5264,0.6734,0.529,0.781,0.6607,0.6161,0.9381,0.8226,0.9416,0.4702,0.4462,0.6765,0.3167,0.3499,1.0,0.589,0.5714,0.4758,0.7549,0.8318,0.7651
음료식품,0.1924,0.255,0.3024,0.7547,0.5252,0.7521,0.5411,0.8051,0.6309,0.9563,0.8361,0.526,0.265,0.3052,0.2585,0.3028,0.4237,0.6905,0.5596,0.6703,0.4709,0.7359,0.5192,0.845
의류,0.0678,0.3358,0.5544,0.7124,0.5105,1.0,0.5857,0.8055,1.0,1.0,0.9041,0.7251,0.2528,0.3172,0.3275,0.4387,0.2146,0.6679,0.5581,1.0,0.595,0.6874,0.7643,0.8396
요식업,0.138,0.4071,0.3906,0.667,0.5011,0.6549,0.614,0.7924,0.679,0.8913,1.0,0.6549,0.2762,0.4524,0.3545,0.3589,0.5203,0.6922,0.6518,0.732,0.4758,0.8683,0.5529,0.9182
자동차정비,0.0885,0.5,0.1907,0.5254,0.6314,0.6059,0.5762,0.8974,0.5994,0.7154,0.8641,0.7391,0.3637,1.0,0.5869,0.3761,0.7792,0.786,0.8401,0.6052,0.4887,0.8703,0.7297,0.9847
자동차판매,0.0605,0.5,0.0,0.6595,0.3414,0.4155,0.1317,0.4274,0.4533,0.5584,0.6457,0.4349,0.1532,0.2685,0.0,0.1312,0.0431,0.3325,0.5552,0.4663,0.4589,0.3979,0.0795,0.5096
전기가전,0.0442,0.1394,0.0527,0.3825,0.3739,0.3669,0.4378,0.49,0.3127,0.8529,0.6091,0.7755,0.2416,0.1659,0.7312,0.1309,0.1716,0.5951,0.3774,0.3404,0.2419,0.4754,0.1844,0.4588
주방용구,0.063,0.3525,0.2566,1.0,0.6131,0.5454,0.5357,0.7977,0.7058,0.9996,0.9304,0.8031,1.0,0.944,0.368,1.0,1.0,0.8733,0.5386,0.6456,1.0,0.7057,0.8695,0.5694
직물,0.0729,0.1416,0.2635,0.7243,0.5087,0.5895,0.3289,0.6509,0.7031,0.7694,0.8481,1.0,0.2126,0.359,0.1924,0.3728,0.2712,0.5728,0.4454,0.6932,0.4979,0.7709,0.8333,0.6016
