업종,광명,구리,의정부,과천
가구,0.3067,0.2657,0.2042,0.0974
광학제품,0.6264,0.4908,0.6274,0.3207
의료기관,0.6841,0.702,0.6437,0.4066
레저업소,0.5937,0.5528,0.7118,0.4834
레저용품,0.5159,0.8106,0.6106,0.2658
문화취미,0.8881,0.4512,0.5764,1.0
보건위생,0.7608,0.6569,0.6964,0.3706
사무통신,0.5165,0.5364,0.7574,0.6586
서적문구,0.5445,0.4507,0.5112,0.7194
수리서비스,0.6902,0.5424,0.6964,0.4353
숙박,0.6769,0.2677,0.5233,0.0069
신변잡화,0.7431,0.5895,0.7037,0.378
연료판매,0.1962,0.0,0.1611,0.0372
유통업,0.5264,0.529,0.5714,0.4605
음료식품,0.7547,0.7521,0.6703,0.3024
의류,0.7124,1.0,1.0,0.5544
요식업,0.667,0.6549,0.732,0.3906
자동차정비,0.5254,0.6059,0.6052,0.1907
자동차판매,0.6595,0.4155,0.4663,0.0
전기가전,0.3825,0.3669,0.3404,0.0527
주방용구,1.0,0.5454,0.6456,0.2566
직물,0.7243,0.5895,0.6932,0.2635
